date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:25:43	154003/154003	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Aug%202019%2003:48:47%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/kk-od1je6mckbqgnn1uvlzkld42jf2xzy3cq7g17ushpc.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/kk-od1je6mckbqgnn1uvlzkld42jf2xzy3cq7g17ushpc.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:43	509295/509295	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Aug%202019%2011:50:21%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/2019/08/Geladinho-Gourmet-768x439.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/2019/08/Geladinho-Gourmet-768x439.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:44	175923/175923	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Aug%202019%2003:48:58%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/trufado-od25n21xlm2iqxqlcaj7jrlnf5ohbyi565seg5bu74.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/trufado-od25n21xlm2iqxqlcaj7jrlnf5ohbyi565seg5bu74.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:45	937038/937038	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Aug%202019%2001:40:20%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/2019/08/tio.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/2019/08/tio.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:45	177989/177989	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Aug%202019%2003:48:30%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/detox-od26emni2ntbb5osc7l8ot4eq1s34byoymp58cg3og.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/detox-od26emni2ntbb5osc7l8ot4eq1s34byoymp58cg3og.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:45	186597/186597	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Aug%202019%2003:48:16%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/fit-od26ercp0tzqx7hykrmdj9xpoz4x6thcn9ykmq94tc.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/fit-od26ercp0tzqx7hykrmdj9xpoz4x6thcn9ykmq94tc.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:45	163834/163834	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Aug%202019%2003:45:17%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/alcool-od26ehyb4hmvp3vm3nk3ucb3r4f91ug19zfptyn2jk.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/alcool-od26ehyb4hmvp3vm3nk3ucb3r4f91ug19zfptyn2jk.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:45	114114/114114	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Sep%202019%2015:45:33%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/2019/08/t-300x285.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/2019/08/t-300x285.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:46	452222/452222	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Aug%202019%2002:50:41%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/2019/08/999999-768x512.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/2019/08/999999-768x512.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:46	146523/146523	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Aug%202019%2003:44:49%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/planlha-od29hq6rupwdjyb8lqesw9uqck6vwg0kkik68ppy8w.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/planlha-od29hq6rupwdjyb8lqesw9uqck6vwg0kkik68ppy8w.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:46	147753/147753	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Aug%202019%2003:50:18%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/brigadeiro-od29gu89ecoml7lnsclhjhx25gkemqhp44dnxb1c4g.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/brigadeiro-od29gu89ecoml7lnsclhjhx25gkemqhp44dnxb1c4g.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:46	131947/131947	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Aug%202019%2003:55:08%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/bolo_de_pote-od29gpj2g6i6z5shjskcp13r6j7kk8z1fh48ix8azk.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/bolo_de_pote-od29gpj2g6i6z5shjskcp13r6j7kk8z1fh48ix8azk.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:46	101626/101626	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Aug%202019%2003:40:44%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/2019/08/ul-300x275.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/2019/08/ul-300x275.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:46	30481/30481	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Sep%202019%2015:43:49%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/2019/09/sem_ttulo-3-150x150.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/2019/09/sem_ttulo-3-150x150.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
